Time,vote,total
2018/06/13,4672,4672
2018/06/14,17803,22475
2018/06/15,10861,33336
2018/06/16,6553,39889
2018/06/17,5016,44905
2018/06/18,4027,48932
2018/06/19,3645,52577
2018/06/20,3420,55997
2018/06/21,2842,58839
2018/06/22,2077,60916
2018/06/23,1543,62459
2018/06/24,2432,64891
2018/06/25,1896,66787
2018/06/26,1519,68306
2018/06/27,997,69303
2018/06/28,966,70269
2018/06/29,4243,74512
2018/06/30,2379,76891
2018/07/01,1037,77928
2018/07/02,1051,78979
2018/07/03,1222,80201
2018/07/04,1037,81238
2018/07/05,1090,82328
2018/07/06,1064,83392
2018/07/07,435,83827
2018/07/08,580,84407
2018/07/09,548,84955
2018/07/10,312,85267
2018/07/11,248,85515
2018/07/12,579,86094
2018/07/13,845,86939
2018/07/14,238,87177
2018/07/15,103,87280
2018/07/16,3,87283
