user_id	username	zone	country	fate_num
41100	willingyu	86	540	China
41742	亦来云elastos	86	221	China
45051	songhao	1	195	USA|Canada
41170	run	86	191	China
42362	artanker	375	149	Belarus
43322	Click	86	131	China
45030	hoangptsc	84	129	Vietnam
42464	memb	385	128	Croatia
42893	vv	86	116	China
41433	kyama	81	103	Japan
43506	yeel	86	102	China
42898	1588	86	98	China
44886	luongcuong1991	84	80	Vietnam
42006	noon4343	66	48	Thailand
41018	lemon	86	46	China
41915	doufeelachill	90	42	Turkey
41204	1032501168	86	38	China
42530	BlackyM	385	34	Croatia
45305	zanghan	1	32	USA|Canada
41628	airdropkinghk	852	31	Hong Kong
