Time,vote,total
2018/06/13 02:00,1,1
2018/06/13 04:00,4,5
2018/06/13 06:00,13,18
2018/06/13 08:00,79,97
2018/06/13 10:00,23,120
2018/06/13 12:00,55,175
2018/06/13 14:00,553,728
2018/06/13 16:00,1289,2017
2018/06/13 18:00,997,3014
2018/06/13 20:00,705,3719
2018/06/13 22:00,953,4672
2018/06/14 00:00,804,5476
2018/06/14 02:00,873,6349
2018/06/14 04:00,1060,7409
2018/06/14 06:00,2020,9429
2018/06/14 08:00,1029,10458
2018/06/14 10:00,1482,11940
2018/06/14 12:00,1914,13854
2018/06/14 14:00,1654,15508
2018/06/14 16:00,1777,17285
2018/06/14 18:00,2041,19326
2018/06/14 20:00,1966,21292
2018/06/14 22:00,1183,22475
2018/06/15 00:00,1027,23502
2018/06/15 02:00,1087,24589
2018/06/15 04:00,1344,25933
2018/06/15 06:00,1536,27469
2018/06/15 08:00,1079,28548
2018/06/15 10:00,580,29128
2018/06/15 12:00,719,29847
2018/06/15 14:00,788,30635
2018/06/15 16:00,947,31582
2018/06/15 18:00,755,32337
2018/06/15 20:00,535,32872
2018/06/15 22:00,464,33336
2018/06/16 00:00,852,34188
2018/06/16 02:00,582,34770
2018/06/16 04:00,1093,35863
2018/06/16 06:00,811,36674
2018/06/16 08:00,486,37160
2018/06/16 10:00,361,37521
2018/06/16 12:00,318,37839
2018/06/16 14:00,385,38224
2018/06/16 16:00,324,38548
2018/06/16 18:00,560,39108
2018/06/16 20:00,338,39446
2018/06/16 22:00,443,39889
2018/06/17 00:00,490,40379
2018/06/17 02:00,326,40705
2018/06/17 04:00,531,41236
2018/06/17 06:00,614,41850
2018/06/17 08:00,592,42442
2018/06/17 10:00,466,42908
2018/06/17 12:00,227,43135
2018/06/17 14:00,229,43364
2018/06/17 16:00,362,43726
2018/06/17 18:00,416,44142
2018/06/17 20:00,474,44616
2018/06/17 22:00,289,44905
2018/06/18 00:00,403,45308
2018/06/18 02:00,290,45598
2018/06/18 04:00,579,46177
2018/06/18 06:00,271,46448
2018/06/18 08:00,306,46754
2018/06/18 10:00,262,47016
2018/06/18 12:00,195,47211
2018/06/18 14:00,322,47533
2018/06/18 16:00,336,47869
2018/06/18 18:00,583,48452
2018/06/18 20:00,320,48772
2018/06/18 22:00,160,48932
